site,location,year,days_recorded,total_hours,hrs_per_day
M-1,mine,2023,61,68.5,1.12
M-1,mine,2024,61,68.5,1.12
M-1,mine,2025,61,68.1,1.12
M-10,mine,2023,61,68.6,1.12
M-10,mine,2024,61,67.8,1.11
M-10,mine,2025,61,68.1,1.12
M-11,mine,2023,61,68.3,1.12
M-11,mine,2024,61,68.5,1.12
M-11,mine,2025,61,68.1,1.12
M-12,mine,2023,61,68.6,1.12
M-12,mine,2024,61,68,1.11
M-12,mine,2025,61,68.1,1.12
M-2,mine,2023,21,23.8,1.13
M-2,mine,2024,61,68,1.11
M-2,mine,2025,61,68.1,1.12
M-5,mine,2023,61,68.5,1.12
M-5,mine,2024,61,68.5,1.12
M-5,mine,2025,61,68.1,1.12
M-6,mine,2023,61,68.5,1.12
M-6,mine,2024,61,68.5,1.12
M-6,mine,2025,61,68.1,1.12
M-7,mine,2023,61,68.5,1.12
M-7,mine,2024,61,68.5,1.12
M-7,mine,2025,61,68.1,1.12
M-9,mine,2023,59,65.6,1.11
M-9,mine,2024,61,68.5,1.12
M-9,mine,2025,61,68.1,1.12
O-1,okefenokee,2024,60,66.9,1.11
O-1,okefenokee,2025,61,68.1,1.12
O-2,okefenokee,2024,60,66.8,1.11
O-2,okefenokee,2025,61,68.1,1.12
O-3,okefenokee,2024,41,45.5,1.11
O-3,okefenokee,2025,61,68.1,1.12
O-4,okefenokee,2024,28,30.3,1.08
O-4,okefenokee,2025,16,17.2,1.08
O-5,okefenokee,2024,60,67,1.12
O-5,okefenokee,2025,61,68.1,1.12
O-6,okefenokee,2024,60,66.9,1.11
O-6,okefenokee,2025,47,52.5,1.12
O-7,okefenokee,2024,60,66.9,1.11
O-7,okefenokee,2025,61,68.1,1.12
O-8,okefenokee,2024,60,66.7,1.11
O-8,okefenokee,2025,61,68.1,1.12
R-1,sansavilla,2023,61,67.4,1.1
R-1,sansavilla,2024,61,67.8,1.11
R-1,sansavilla,2025,61,68.1,1.12
R-10,sansavilla,2023,61,67.3,1.1
R-10,sansavilla,2024,61,67.9,1.11
R-10,sansavilla,2025,61,68.1,1.12
R-11,sansavilla,2023,61,67.2,1.1
R-11,sansavilla,2024,61,68,1.11
R-11,sansavilla,2025,61,68.1,1.12
R-12,sansavilla,2023,61,67.4,1.1
R-12,sansavilla,2024,61,67.9,1.11
R-12,sansavilla,2025,61,68.1,1.12
R-13,sansavilla,2023,61,67.4,1.1
R-13,sansavilla,2024,61,67.9,1.11
R-13,sansavilla,2025,61,68.1,1.12
R-2,sansavilla,2023,61,67.5,1.11
R-2,sansavilla,2024,61,67.9,1.11
R-2,sansavilla,2025,61,68.1,1.12
R-3,sansavilla,2023,61,67.4,1.11
R-3,sansavilla,2024,61,67.8,1.11
R-3,sansavilla,2025,57,61.5,1.08
R-6,sansavilla,2023,61,67.3,1.1
R-6,sansavilla,2024,61,68,1.11
R-6,sansavilla,2025,61,68.1,1.12
R-7,sansavilla,2023,61,67.4,1.1
R-7,sansavilla,2024,61,67.9,1.11
R-7,sansavilla,2025,61,68.1,1.12
R-9,sansavilla,2023,46,49.9,1.09
R-9,sansavilla,2024,61,67.9,1.11
R-9,sansavilla,2025,61,68.1,1.12
