bird_id,distance,dbfs,bn_confidence,height,bearing_difference,date,time,treatment,temp,humidity,wind,sound_difference_average,segment_start,segment_end,vocal_start,vocal_end,common_name,file_name,bacs_start,bacs_end,song_type,bearing_song,bearing_bird_aru,perch_substrate,ambient_spl,site,aru,julian_day,logit,file_path,max_rms,min_dbfs,median_dbfs,mean_dbfs,snr,veg_territory,trees_4m,height_of_tallest,tallest_tree,widest_tree,robel_average,dbh_average,tree_height_average,log_distance
B001,39.62,-35.43819660913521,0.9978,1.5,127,2025-05-09,09:46:20,sansavilla,24.444,67,1.609,9.275000000000006,9,12,1,74,Bachman's Sparrow,SMA10458_20250509_094620.wav,09:46:21,09:47:34,Normal,183,310,snag,42.3,NA,SMA10458,129,6.117095495062676,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250509_094620.wav,0.01690791942576471,-58.26521312420822,-49.515121257149445,-45.64818888769317,22.82701651507301,Slime,0,2.25,0,0,0.4375,0,0,3.6793340412704048
B001,39.62,-37.79453171771042,0.997,1.5,127,2025-05-09,09:46:20,sansavilla,24.444,67,1.609,9.275000000000006,48,51,1,74,Bachman's Sparrow,SMA10458_20250509_094620.wav,09:46:21,09:47:34,Normal,183,310,snag,42.3,NA,SMA10458,129,5.806138481293727,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250509_094620.wav,0.01289060836482153,-57.30719864974594,-48.748512017413255,-46.227935116728105,19.51266693203552,Slime,0,2.25,0,0,0.4375,0,0,3.6793340412704048
B001,39.62,-35.5807385524736,0.9972,1.5,127,2025-05-09,09:46:20,sansavilla,24.444,67,1.609,9.275000000000006,66,69,1,74,Bachman's Sparrow,SMA10458_20250509_094620.wav,09:46:21,09:47:34,Normal,183,310,snag,42.3,NA,SMA10458,129,5.875331934468235,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250509_094620.wav,0.01663271218075907,-54.28589274110556,-44.371325638824324,-43.11055069818802,18.705154188631962,Slime,0,2.25,0,0,0.4375,0,0,3.6793340412704048
B005,31.95,-34.74749487366606,0.9986,5,173,2025-05-20,08:23:13,sansavilla,28.556,70.2,0.894,9.875000000000014,9,12,2,30,Bachman's Sparrow,SMA10458_20250520_082313.wav,08:23:15,08:23:43,Normal,266,79,Pine,38.5,R9,SMA10458,140,6.569882061445327,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250520_082313.wav,0.018307340382720735,-44.71461741840682,-39.508557831112874,-39.209032240359896,9.967122544740757,Spike,2.5,7,4,0.175,0.8375,0.1375,3,3.4641721808235437
B005,23.35,-29.77654894340447,0.9977,7.5,45,2025-05-20,08:37:06,sansavilla,28.556,70.2,0.894,9.875000000000014,9,12,7,20,Bachman's Sparrow,SMA10458_20250520_083706.wav,08:37:13,08:37:26,Normal,27,342,Pine,38.5,R9,SMA10458,140,6.072543506984371,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250520_083706.wav,0.03244685087828561,-44.67890674139937,-39.27521408066948,-37.273803641230515,14.902357797994906,Spike,2.5,7,4,0.175,0.8375,0.1375,3,3.150596984114906
B005,101.67,-46.90180305188018,0.9979,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,105,108,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,6.163715726160894,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250520_095457.wav,0.0045176215603677005,-51.61191560753956,-49.70626106903377,-49.47646219508451,4.710112555659384,Spike,2.5,7,4,0.175,0.8375,0.1375,3,4.62173227428707
B005,101.67,-42.410872036519976,0.9999,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,114,117,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,9.21024036697596,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250520_095457.wav,0.007576286654670558,-52.09873050206052,-48.60769506142483,-47.66138228729373,9.687858465540542,Spike,2.5,7,4,0.175,0.8375,0.1375,3,4.62173227428707
B005,101.67,-45.23661500035955,0.9982,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,123,126,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,6.318166992133376,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250520_095457.wav,0.0054722918338917705,-51.609724324631976,-49.23489621494354,-48.978204917012384,6.373109324272431,Spike,2.5,7,4,0.175,0.8375,0.1375,3,4.62173227428707
B005,101.67,-43.23269737890627,0.998,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,135,138,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,6.212606095751518,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250520_095457.wav,0.006892315209980424,-53.03298090867077,-50.005711100327375,-49.143456017906715,9.800283529764501,Spike,2.5,7,4,0.175,0.8375,0.1375,3,4.62173227428707
B005,101.67,-43.234982630879756,0.996,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,156,159,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,5.5174528964647065,D:/Chemours/Data/Recordings/1_BACS_Known_Distance_Recordings/SMA10458_20250520_095457.wav,0.006890502084811108,-52.20342178055959,-49.28429848388418,-48.44893437650985,8.968439149679831,Spike,2.5,7,4,0.175,0.8375,0.1375,3,4.62173227428707
