site,species,year,p_mean,N_mean,N_mode,yrs_since_disturbance,location,lambda,lambda_se,disturbance_dependent,N_mean_change,lambda_change,mean_temp,mean_wind,mean_rel_humidity,n_detections,modeled
M-1,American Crow,2023,0.06415541573764517,4.030587595478902,4,3,Mine,4.97214672230268,2.5398728343200734,0,NA,NA,70.2915177033092,3.5605730909176603,95.62917883981922,661,TRUE
M-1,American Crow,2024,0.120337510998448,2.016418906489842,2,4,Mine,2.704162473131849,0.7939450896863308,0,-2.01416868898906,-2.2679842491708313,72.88092319549166,2.683703297876631,94.94208087711668,888,TRUE
M-1,American Crow,2025,0.05857689442022128,7.364353325022255,7,5,Mine,8.17689347816789,2.593947203007026,0,5.347934418532413,5.472731005036042,73.11629170582707,2.13311958403301,95.29947538768796,954,TRUE
M-1,Bachman's Sparrow,2023,0.2517377995303337,6.062802866258757,6,3,Mine,1.2506963246001657,0.4242926711023612,1,NA,NA,70.2915177033092,3.5605730909176603,95.62917883981922,1667,TRUE
M-1,Bachman's Sparrow,2024,0.25433116051667404,5.864672523223112,6,4,Mine,1.1444112111336706,0.4082873703924147,1,-0.1981303430356451,-0.10628511346649504,72.88092319549166,2.683703297876631,94.94208087711668,4366,TRUE
M-1,Bachman's Sparrow,2025,0.15681947317523032,2.547489710037578,2,5,Mine,0.6422595849436533,0.2936093271738467,1,-3.317182813185533,-0.5021516261900173,73.11629170582707,2.13311958403301,95.29947538768796,1134,TRUE
M-1,Barred Owl,2023,0.03894892930187167,8.815336494397112e-6,0,3,Mine,2.8406209436659115e-5,0.00216105072211849,0,NA,NA,70.2915177033092,3.5605730909176603,95.62917883981922,33,TRUE
M-1,Barred Owl,2024,0.0393508832485932,1.4466474331898847e-5,0,4,Mine,4.757933606726295e-5,0.00275497869293318,0,5.651137837501735e-6,1.917312663060384e-5,72.88092319549166,2.683703297876631,94.94208087711668,39,TRUE
M-1,Barred Owl,2025,0.02080167046419254,1.1201924239643687e-5,0,5,Mine,2.1129493645308645e-5,0.00223860751851088,0,-3.26455009225516e-6,-2.6449842421954308e-5,73.11629170582707,2.13311958403301,95.29947538768796,77,TRUE
M-1,Blue Grosbeak,2023,0.3782624525257638,1.006417227446649,1,3,Mine,4.033130723586105,0.8597287089560802,1,NA,NA,70.2915177033092,3.5605730909176603,95.62917883981922,9187,TRUE
M-1,Blue Grosbeak,2024,0.21252212324659295,8.167927641599261,8,4,Mine,6.620276433951133,1.2363257566232722,1,7.1615104141526125,2.5871457103650286,72.88092319549166,2.683703297876631,94.94208087711668,14373,TRUE
M-1,Blue Grosbeak,2025,0.19221977291380377,1.0544695946362246,1,5,Mine,6.142392984574828,1.2144235557923757,1,-7.113458046963037,-0.47788344937630534,73.11629170582707,2.13311958403301,95.29947538768796,11747,TRUE
M-1,Blue Jay,2023,0.02915331780581655,1.7401041718365702,1,3,Mine,1.7898371049141253,0.9662810719233502,0,NA,NA,70.2915177033092,3.5605730909176603,95.62917883981922,65,TRUE
M-1,Blue Jay,2024,0.04412212146303058,1.3148667414815622,1,4,Mine,0.6458283601681265,0.39189820584843654,0,-0.42523743035500794,-1.1440087447459988,72.88092319549166,2.683703297876631,94.94208087711668,143,TRUE
M-1,Blue Jay,2025,0.0821933279002063,1.1136349007452355,1,5,Mine,0.7180140442429468,0.3328343244564564,0,-0.2012318407363265,0.07218568407482029,73.11629170582707,2.13311958403301,95.29947538768796,293,TRUE
M-1,Blue-gray Gnatcatcher,2023,0.06865777662477976,1.062226289531722,1,3,Mine,0.258897393552905,0.18531697651590537,1,NA,NA,70.2915177033092,3.5605730909176603,95.62917883981922,308,TRUE
