site,prev_year,turnover_year,total_turnover,species_replacement,species_gain_lost,location,yrs_since_disturbance
M-1,2023,2024,0.21212121212121213,0.1875,0.02462121212121212,mine,4
M-1,2024,2025,0.2,0.06666666666666667,0.13333333333333333,mine,5
M-10,2023,2024,0.21428571428571427,0.21428571428571427,0,mine,5
M-10,2024,2025,0.2413793103448276,0.21428571428571427,0.0270935960591133,mine,6
M-11,2023,2024,0.2413793103448276,0.15384615384615385,0.08753315649867374,mine,2
M-11,2024,2025,0.1724137931034483,0,0.1724137931034483,mine,3
M-12,2023,2024,0.21212121212121213,0.1875,0.02462121212121212,mine,3
M-12,2024,2025,0.21212121212121213,0.1875,0.02462121212121212,mine,4
M-2,2023,2024,0.20689655172413793,0.08,0.12689655172413794,mine,6
M-2,2024,2025,0.3333333333333333,0.3125,0.020833333333333336,mine,7
M-5,2023,2024,0.2647058823529412,0.24242424242424243,0.022281639928698752,mine,6
M-5,2024,2025,0.15625,0.12903225806451613,0.02721774193548387,mine,7
M-6,2023,2024,0.48484848484848486,0.48484848484848486,0,mine,6
M-6,2024,2025,0.28125,0.14814814814814814,0.13310185185185186,mine,7
M-7,2023,2024,0.14814814814814814,0.08,0.06814814814814815,mine,5
M-7,2024,2025,0.2,0,0.2,mine,6
M-9,2023,2024,0.5161290322580645,0.34782608695652173,0.16830294530154277,mine,3
M-9,2024,2025,0.5,0.34782608695652173,0.15217391304347827,mine,4
O-1,2024,2025,0.1794871794871795,0.15789473684210525,0.021592442645074223,okefenokee,2
O-2,2024,2025,0.23529411764705882,0.1875,0.04779411764705882,okefenokee,2
O-3,2024,2025,0.14705882352941177,0.12121212121212122,0.02584670231729055,okefenokee,2
O-4,2024,2025,0.2727272727272727,0.14285714285714285,0.12987012987012986,okefenokee,2
O-5,2024,2025,0.2564102564102564,0.21621621621621623,0.040194040194040194,okefenokee,1
O-6,2024,2025,0.16666666666666666,0.11764705882352941,0.04901960784313725,okefenokee,1
O-7,2024,2025,0.10810810810810811,0.05714285714285714,0.050965250965250966,okefenokee,1
O-8,2024,2025,0.16216216216216217,0.11428571428571428,0.047876447876447875,okefenokee,1
R-1,2023,2024,0.15384615384615385,0.10810810810810811,0.045738045738045734,sansavilla,4
R-1,2024,2025,0.21052631578947367,0.16666666666666666,0.043859649122807015,sansavilla,5
R-10,2023,2024,0.24324324324324326,0.2222222222222222,0.021021021021021023,sansavilla,1
R-10,2024,2025,0.22857142857142856,0.18181818181818182,0.046753246753246755,sansavilla,2
R-11,2023,2024,0.18421052631578946,0.06060606060606061,0.12360446570972887,sansavilla,1
R-11,2024,2025,0.21621621621621623,0.17142857142857143,0.04478764478764479,sansavilla,0
R-12,2023,2024,0.16666666666666666,0.0625,0.10416666666666666,sansavilla,1
R-12,2024,2025,0.2647058823529412,0.1935483870967742,0.07115749525616698,sansavilla,2
R-13,2023,2024,0.1891891891891892,0.0625,0.1266891891891892,sansavilla,0
R-13,2024,2025,0.3055555555555556,0.2857142857142857,0.01984126984126984,sansavilla,1
R-2,2023,2024,0.2564102564102564,0.21621621621621623,0.040194040194040194,sansavilla,0
R-2,2024,2025,0.2222222222222222,0.17647058823529413,0.0457516339869281,sansavilla,1
R-3,2023,2024,0.14705882352941177,0.06451612903225806,0.0825426944971537,sansavilla,1
R-3,2024,2025,0.1935483870967742,0.07407407407407407,0.11947431302270012,sansavilla,2
R-6,2023,2024,0.2222222222222222,0.17647058823529413,0.0457516339869281,sansavilla,3
R-6,2024,2025,0.25,0.22857142857142856,0.02142857142857143,sansavilla,4
R-7,2023,2024,0.24242424242424243,0.1935483870967742,0.04887585532746823,sansavilla,1
R-7,2024,2025,0.2,0.14285714285714285,0.05714285714285714,sansavilla,2
R-9,2023,2024,0.2564102564102564,0.2564102564102564,0,sansavilla,0
R-9,2024,2025,0.11764705882352941,0,0.11764705882352941,sansavilla,1
