bird_id,distance,dbfs,bn_confidence,height,bearing_difference,date,time,treatment,temp,humidity,wind,sound_difference_average,segment_start,segment_end,vocal_start,vocal_end,common_name,file,bacs_start,bacs_end,song_type,bearing_song,bearing_bird_aru,perch_substrate,ambient_spl,site,aru,julian_day,file_path,max_rms,min_rms,median_rms,mean_rms,snr,veg_territory,trees_4m,height_of_tallest,tallest_tree,widest_tree,robel_average,dbh_average,tree_height_average,min_dbfs,median_dbfs
B001,39.62,-35.43819660913521,0.9978,1.5,127,2025-05-09,09:46:20,sansavilla,24.444,67,1.609,9.275000000000006,9,12,1,74,Bachman's Sparrow,SMA10458_20250509_094620.wav,09:46:21,09:47:34,Normal,183,310,snag,42.3,NA,SMA10458,129,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250509_094620.wav,0.01690791942576471,0.00122106657666594,0.00334382805438395,0.00521903916128879,22.82701651507301,Slime,0,2.25,0,0,0.4375,0,0,-58.26521312420823,44.464278829570915
B001,39.62,-37.79453171771042,0.997,1.5,127,2025-05-09,09:46:20,sansavilla,24.444,67,1.609,9.275000000000006,48,51,1,74,Bachman's Sparrow,SMA10458_20250509_094620.wav,09:46:21,09:47:34,Normal,183,310,snag,42.3,NA,SMA10458,129,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250509_094620.wav,0.01289060836482153,0.00136345267246964,0.00365236690712407,0.00488206147954816,19.51266693203552,Slime,0,2.25,0,0,0.4375,0,0,-57.30719864974596,45.23088806930712
B001,39.62,-35.5807385524736,0.9972,1.5,127,2025-05-09,09:46:20,sansavilla,24.444,67,1.609,9.275000000000006,66,69,1,74,Bachman's Sparrow,SMA10458_20250509_094620.wav,09:46:21,09:47:34,Normal,183,310,snag,42.3,NA,SMA10458,129,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250509_094620.wav,0.01663271218075907,0.00193065806226375,0.00604552077680446,0.00698992418208882,18.70515418863196,Slime,0,2.25,0,0,0.4375,0,0,-54.28589274110557,49.608074447896044
B005,31.95,-34.74749487366606,0.9986,5,173,2025-05-20,08:23:13,sansavilla,28.556,70.2,0.894,9.875000000000014,9,12,2,30,Bachman's Sparrow,SMA10458_20250520_082313.wav,08:23:15,08:23:43,Normal,266,79,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_082313.wav,0.01830734038272073,0.00581124424472511,0.01058210602285382,0.01095338588396379,9.967122544740755,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-44.71461741840682,54.4708422556075
B005,23.35,-29.77654894340447,0.9977,7.5,45,2025-05-20,08:37:06,sansavilla,28.556,70.2,0.894,9.875000000000014,9,12,7,20,Bachman's Sparrow,SMA10458_20250520_083706.wav,08:37:13,08:37:26,Normal,27,342,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_083706.wav,0.03244685087828561,0.00583518544824883,0.0108702440835255,0.01368704887059899,14.902357797994906,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-44.67890674139939,54.7041860060509
B005,101.67,-46.90180305188018,0.9979,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,105,108,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_095457.wav,0.0045176215603677,0.00262666217202645,0.00327104822184474,0.00335874389651971,4.710112555659384,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-51.61191560753956,44.273139017686596
B005,101.67,-42.410872036519976,0.9999,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,114,117,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_095457.wav,0.00757628665467055,0.00248349605749389,0.0037120622188246,0.00413933795447479,9.687858465540542,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-52.09873050206055,45.37170502529554
B005,101.67,-45.23661500035955,0.9982,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,123,126,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_095457.wav,0.00547229183389177,0.00262732491197091,0.00345346603656014,0.00355704823267718,6.373109324272431,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-51.609724324632005,44.74450387177682
B005,101.67,-43.23269737890627,0.998,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,135,138,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_095457.wav,0.00689231520998042,0.00223023668166303,0.00316019909946271,0.0034900142410291,9.8002835297645,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-53.03298090867078,43.97368898639299
B005,101.67,-43.23498263087976,0.996,8,74,2025-05-20,09:54:57,sansavilla,32.056,54.5,0.805,9.875000000000014,156,159,68,164,Bachman's Sparrow,SMA10458_20250520_095457.wav,09:56:05,09:57:41,Normal,146,220,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_095457.wav,0.0068905020848111,0.00245374208081375,0.00343387969577655,0.00378053515739969,8.968439149679831,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-52.203421780559594,44.69510160283618
B005,19.03,-30.095422010637748,0.9997,8,12,2025-05-20,10:12:37,sansavilla,32.056,54.5,0.805,9.875000000000014,3,6,2,27,Bachman's Sparrow,SMA10458_20250520_101237.wav,10:12:39,10:13:04,Normal,170,182,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_101237.wav,0.03127727434365253,0.00113664032318179,0.00170960937527232,0.00727776311870415,28.792116811166988,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-58.88753882180478,38.63733790224436
B005,19.03,-27.98092342499843,0.998,8,12,2025-05-20,10:12:37,sansavilla,32.056,54.5,0.805,9.875000000000014,24,27,2,27,Bachman's Sparrow,SMA10458_20250520_101237.wav,10:12:39,10:13:04,Normal,170,182,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_101237.wav,0.03989824829901158,0.00121572307628091,0.0018425256554168,0.00875997437568004,30.322383368035744,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-58.30330679303421,39.28767096093375
B005,31.76,-36.42427723893396,0.9964,4.5,104,2025-05-20,08:50:09,sansavilla,28.556,70.2,0.894,9.875000000000014,12,15,1,15,Bachman's Sparrow,SMA10458_20250520_085009.wav,08:50:10,08:50:24,Normal,21,125,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_085009.wav,0.0150933672040601,0.00626643329320768,0.009745480919058,0.01008897222675098,7.635314342609259,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-44.05959158154323,53.755465596818595
B005,35.01,-31.08259631966634,0.9987,8.5,166,2025-05-20,08:56:39,sansavilla,28.556,70.2,0.894,9.875000000000014,0,3,0,7,Bachman's Sparrow,SMA10458_20250520_085639.wav,08:56:39,08:56:46,Normal,248,82,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_085639.wav,0.0279170924014331,0.00287852345515703,0.0051790640798877,0.00898382734112924,19.734008228733153,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-50.816604548399496,48.26442577712832
B005,69.12,-36.28815411280143,0.9997,8,82,2025-05-20,10:01:41,sansavilla,32.056,54.5,0.805,9.875000000000014,6,9,3,9,Bachman's Sparrow,SMA10458_20250520_100141.wav,10:01:44,10:01:50,Normal,138,220,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_100141.wav,0.0153317699579979,0.00148168551119521,0.00434046713188808,0.00521233761972042,20.296725204969267,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-56.58487931777074,46.73012952436268
B005,35.47,-33.753841657777194,0.9994,8,39,2025-05-20,10:06:23,sansavilla,32.056,54.5,0.805,9.875000000000014,15,18,6,21,Bachman's Sparrow,SMA10458_20250520_100623.wav,10:06:29,10:06:44,Normal,171,210,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_100623.wav,0.0205261697945382,0.00140558533321814,0.00672451618428631,0.0074721639711925,23.28901400616697,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-57.042855663944216,50.53262095001348
B005,25.5,-29.25831688706536,0.9991,8,48,2025-05-20,10:09:12,sansavilla,32.056,54.5,0.805,9.875000000000014,6,9,2,12,Bachman's Sparrow,SMA10458_20250520_100912.wav,10:09:14,10:09:24,Normal,171,219,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_100912.wav,0.03444166638217222,0.00272524470937057,0.00712400569319039,0.01067252530810428,22.033573008881625,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-51.291889895946994,51.03388524392625
B005,15.13,-26.70779749501635,0.9993,8,4,2025-05-20,10:15:30,sansavilla,32.056,54.5,0.805,9.875000000000014,3,6,1,6,Bachman's Sparrow,SMA10458_20250520_101530.wav,10:15:31,10:15:36,Normal,170,174,Pine,38.5,R9,SMA10458,140,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250520_101530.wav,0.04619661190670034,0.00108778834013892,0.00234915391967073,0.00480483376277849,32.56131451781768,Spike,2.5,7,4,0.175,0.8375,0.1375,3,-59.26911201283406,41.397629551890816
B003,50.09,-35.192471157626684,0.9978,1.2,69,2025-05-21,10:47:36,sansavilla,28.778,67.9,2.146,10.675000000000011,72,75,63,109,Bachman's Sparrow,SMA10458_20250521_104736.wav,10:48:39,10:49:25,Normal,329,38,Pine,41.3,R11,SMA10458,141,F:/Chemours/bacs_wav_processing_temp/SMA10458_20250521_104736.wav,0.0173930779016372,0.00101998184593509,0.00129802924103891,0.00342118388495173,24.635680000867843,Svens,7.5,8,6.5,0.275,0.4125,0.225,5,-59.82815115849454,36.24508960748355
B007,56.29,-40.681650339535345,0.9989,2,45,2025-05-22,09:41:51,sansavilla,28.5,37.8,1.833,10.675000000000011,276,279,272,300,Bachman's Sparrow,2MA02426_20250522_094151.wav,09:46:23,09:46:51,Normal,300,255,Snag,41.3,NA,2MA02426,142,F:/Chemours/bacs_wav_processing_temp/2MA02426_20250522_094151.wav,0.00924522495792469,0.00221573524868562,0.00355985907490694,0.00413508308387955,12.407992327278484,Svens,7.5,8,6.5,0.275,0.4125,0.225,5,-53.089642666813866,45.00805620234815
B007,56.29,-43.416999560948994,0.9983,2,45,2025-05-22,09:41:51,sansavilla,28.5,37.8,1.833,10.675000000000011,294,297,272,300,Bachman's Sparrow,2MA02426_20250522_094151.wav,09:46:23,09:46:51,Normal,300,255,Snag,41.3,NA,2MA02426,142,F:/Chemours/bacs_wav_processing_temp/2MA02426_20250522_094151.wav,0.00674761075770461,0.00227097772943891,0.0039187670855541,0.0039726445390737,9.458742933249104,Svens,7.5,8,6.5,0.275,0.4125,0.225,5,-52.875742494198114,45.84238912017827
B003,31.78,-36.22572145683741,0.996,1.8,153,2025-05-22,10:04:26,sansavilla,30.778,32.2,1.207,10.675000000000011,198,201,189,217,Bachman's Sparrow,2MA02426_20250522_100426.wav,10:07:35,10:08:03,Normal,305,152,Pine,41.3,R11,2MA02426,142,F:/Chemours/bacs_wav_processing_temp/2MA02426_20250522_100426.wav,0.01544236904693222,0.00243739826985205,0.00668244775949031,0.00710368556597149,16.035748572788016,Svens,7.5,8,6.5,0.275,0.4125,0.225,5,-52.26147002962545,50.478111532998504
B003,31.78,-42.12261865555352,0.999,1.8,153,2025-05-22,10:04:26,sansavilla,30.778,32.2,1.207,10.675000000000011,204,207,189,217,Bachman's Sparrow,2MA02426_20250522_100426.wav,10:07:35,10:08:03,Normal,305,152,Pine,41.3,R11,2MA02426,142,F:/Chemours/bacs_wav_processing_temp/2MA02426_20250522_100426.wav,0.00783193486972227,0.00186437581784637,0.00435436410678083,0.00436487763978039,12.466712120080723,Svens,7.5,8,6.5,0.275,0.4125,0.225,5,-54.58933077563426,46.757894915016884
B003,31.78,-39.70216444843605,0.9999,1.8,153,2025-05-22,10:04:26,sansavilla,30.778,32.2,1.207,10.675000000000011,213,216,189,217,Bachman's Sparrow,2MA02426_20250522_100426.wav,10:07:35,10:08:03,Normal,305,152,Pine,41.3,R11,2MA02426,142,F:/Chemours/bacs_wav_processing_temp/2MA02426_20250522_100426.wav,0.01034884250357329,0.00271127911310483,0.00469699487832295,0.00487321142868593,11.63435098349039,Svens,7.5,8,6.5,0.275,0.4125,0.225,5,-51.33651543192645,47.41580181915992
